Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2001,Houses,Carlow,Carlow,147,313,120,814
2001,Houses,Cavan,Cavan,164,877,326,1988
2001,Houses,Clare,Clare,166,912,311,1872
2001,Houses,Cork,Cork,151,2334,959,6371
2001,Houses,Donegal,Donegal,159,1741,581,3644
2001,Houses,Dublin,Dublin,128,893,834,6496
2001,Houses,Galway,Galway,171,1996,620,3632
2001,Houses,Kerry,Kerry,149,1475,415,2794
2001,Houses,Kildare,Kildare,151,779,440,2906
2001,Houses,Kilkenny,Kilkenny,162,571,179,1106
2001,Houses,Laois,Laois,136,261,201,1480
2001,Houses,Leitrim,Leitrim,158,377,156,988
2001,Houses,Limerick,Limerick,152,872,263,1726
2001,Houses,Longford,Longford,152,329,178,1173
2001,Houses,Louth,Louth,129,487,261,2019
2001,Houses,Mayo,Mayo,153,1229,352,2295
2001,Houses,Meath,Meath,143,792,440,3078
2001,Houses,Monaghan,Monaghan,167,471,148,886
2001,Houses,Offaly,Offaly,132,478,220,1664
2001,Houses,Roscommon,Roscommon,148,646,229,1552
2001,Houses,Sligo,Sligo,138,381,157,1137
2001,Houses,Waterford,Waterford,153,461,150,980
2001,Houses,Westmeath,Westmeath,152,513,175,1148
2001,Houses,Wexford,Wexford,158,1253,545,3458
2001,Houses,Wicklow,Wicklow,164,417,160,974
2001,Multi development houses,Carlow,Carlow,120,23,63,524
2001,Multi development houses,Cavan,Cavan,141,162,180,1273
2001,Multi development houses,Clare,Clare,144,72,149,1032
2001,Multi development houses,Cork,Cork,134,201,570,4238
2001,Multi development houses,Donegal,Donegal,142,186,296,2089
2001,Multi development houses,Dublin,Dublin,125,169,719,5772
2001,Multi development houses,Galway,Galway,148,91,255,1727
2001,Multi development houses,Kerry,Kerry,126,150,185,1469
2001,Multi development houses,Kildare,Kildare,134,63,293,2190
2001,Multi development houses,Kilkenny,Kilkenny,137,29,77,564
2001,Multi development houses,Laois,Laois,126,31,157,1250
2001,Multi development houses,Leitrim,Leitrim,142,49,94,660
2001,Multi development houses,Limerick,Limerick,123,51,111,905
2001,Multi development houses,Longford,Longford,142,50,127,894
2001,Multi development houses,Louth,Louth,107,61,171,1593
2001,Multi development houses,Mayo,Mayo,129,123,153,1189
2001,Multi development houses,Meath,Meath,128,66,301,2352
2001,Multi development houses,Monaghan,Monaghan,128,39,58,454
2001,Multi development houses,Offaly,Offaly,113,37,138,1223
2001,Multi development houses,Roscommon,Roscommon,127,67,124,973
2001,Multi development houses,Sligo,Sligo,118,26,92,782
2001,Multi development houses,Waterford,Waterford,129,39,72,558
2001,Multi development houses,Westmeath,Westmeath,129,41,87,676
2001,Multi development houses,Wexford,Wexford,152,181,362,2386
2001,Multi development houses,Wicklow,Wicklow,157,55,96,612
2001,One off houses,Carlow,Carlow,197,290,57,290
2001,One off houses,Cavan,Cavan,204,715,146,715
2001,One off houses,Clare,Clare,193,840,162,840
2001,One off houses,Cork,Cork,182,2133,388,2133
2001,One off houses,Donegal,Donegal,183,1555,285,1555
2001,One off houses,Dublin,Dublin,159,724,115,724
2001,One off houses,Galway,Galway,192,1905,365,1905
2001,One off houses,Kerry,Kerry,174,1325,230,1325
2001,One off houses,Kildare,Kildare,207,716,148,716
2001,One off houses,Kilkenny,Kilkenny,188,542,102,542
2001,One off houses,Laois,Laois,191,230,44,230
2001,One off houses,Leitrim,Leitrim,186,328,61,328
2001,One off houses,Limerick,Limerick,185,821,152,821
2001,One off houses,Longford,Longford,183,279,51,279
2001,One off houses,Louth,Louth,209,426,89,426
2001,One off houses,Mayo,Mayo,180,1106,199,1106
2001,One off houses,Meath,Meath,191,726,139,726
2001,One off houses,Monaghan,Monaghan,208,432,90,432
2001,One off houses,Offaly,Offaly,186,441,82,441
2001,One off houses,Roscommon,Roscommon,181,579,105,579
2001,One off houses,Sligo,Sligo,183,355,65,355
2001,One off houses,Waterford,Waterford,185,422,78,422
2001,One off houses,Westmeath,Westmeath,186,472,88,472
2001,One off houses,Wexford,Wexford,172,1072,184,1072
2001,One off houses,Wicklow,Wicklow,177,362,64,362
2001,Private flats/apartments,Carlow,Carlow,79,18,8,101
2001,Private flats/apartments,Cavan,Cavan,75,31,18,239
2001,Private flats/apartments,Clare,Clare,83,32,11,132
2001,Private flats/apartments,Cork,Cork,76,158,58,760
2001,Private flats/apartments,Donegal,Donegal,77,45,13,169
2001,Private flats/apartments,Dublin,Dublin,80,418,698,8752
2001,Private flats/apartments,Galway,Galway,76,50,22,290
2001,Private flats/apartments,Kerry,Kerry,77,65,29,377
2001,Private flats/apartments,Kildare,Kildare,85,66,72,851
2001,Private flats/apartments,Kilkenny,Kilkenny,80,30,6,75
2001,Private flats/apartments,Laois,Laois,61,9,7,115
2001,Private flats/apartments,Leitrim,Leitrim,70,25,15,215
2001,Private flats/apartments,Limerick,Limerick,71,38,11,155
2001,Private flats/apartments,Longford,Longford,83,32,25,303
2001,Private flats/apartments,Louth,Louth,84,50,42,502
2001,Private flats/apartments,Mayo,Mayo,75,42,12,160
2001,Private flats/apartments,Meath,Meath,69,86,61,881
2001,Private flats/apartments,Monaghan,Monaghan,61,17,6,98
2001,Private flats/apartments,Offaly,Offaly,59,19,4,68
2001,Private flats/apartments,Roscommon,Roscommon,79,9,10,127
2001,Private flats/apartments,Sligo,Sligo,89,21,22,248
2001,Private flats/apartments,Waterford,Waterford,56,9,2,36
2001,Private flats/apartments,Westmeath,Westmeath,71,29,13,184
2001,Private flats/apartments,Wexford,Wexford,83,49,29,351
2001,Private flats/apartments,Wicklow,Wicklow,93,31,18,193
2002,Houses,Carlow,Carlow,139,245,87,627
2002,Houses,Cavan,Cavan,152,617,270,1775
2002,Houses,Clare,Clare,164,637,213,1301
2002,Houses,Cork,Cork,143,1993,873,6108
2002,Houses,Donegal,Donegal,168,1748,494,2935
2002,Houses,Dublin,Dublin,113,803,798,7055
2002,Houses,Galway,Galway,169,1622,423,2499
2002,Houses,Kerry,Kerry,154,1177,308,2006
2002,Houses,Kildare,Kildare,152,527,229,1508
2002,Houses,Kilkenny,Kilkenny,135,431,173,1278
2002,Houses,Laois,Laois,145,321,222,1535
2002,Houses,Leitrim,Leitrim,146,249,89,609
2002,Houses,Limerick,Limerick,144,766,305,2115
2002,Houses,Longford,Longford,154,239,90,583
2002,Houses,Louth,Louth,155,422,160,1035
2002,Houses,Mayo,Mayo,164,1090,324,1981
2002,Houses,Meath,Meath,135,516,359,2664
2002,Houses,Monaghan,Monaghan,146,430,149,1019
2002,Houses,Offaly,Offaly,135,488,236,1748
2002,Houses,Roscommon,Roscommon,162,600,158,974
2002,Houses,Sligo,Sligo,148,354,138,930
2002,Houses,Waterford,Waterford,156,476,137,876
2002,Houses,Westmeath,Westmeath,147,363,169,1152
2002,Houses,Wexford,Wexford,159,866,213,1343
2002,Houses,Wicklow,Wicklow,117,314,299,2553
2002,Multi development houses,Carlow,Carlow,104,21,42,403
2002,Multi development houses,Cavan,Cavan,131,109,166,1267
2002,Multi development houses,Clare,Clare,130,50,93,714
2002,Multi development houses,Cork,Cork,122,170,522,4285
2002,Multi development houses,Donegal,Donegal,139,175,189,1362
2002,Multi development houses,Dublin,Dublin,109,146,695,6398
2002,Multi development houses,Galway,Galway,125,56,117,933
2002,Multi development houses,Kerry,Kerry,121,74,109,903
2002,Multi development houses,Kildare,Kildare,123,49,127,1030
2002,Multi development houses,Kilkenny,Kilkenny,109,27,95,874
2002,Multi development houses,Laois,Laois,131,28,163,1242
2002,Multi development houses,Leitrim,Leitrim,123,23,47,383
2002,Multi development houses,Limerick,Limerick,119,58,168,1407
2002,Multi development houses,Longford,Longford,133,24,49,368
2002,Multi development houses,Louth,Louth,115,28,74,641
2002,Multi development houses,Mayo,Mayo,139,102,138,993
2002,Multi development houses,Meath,Meath,122,48,267,2196
2002,Multi development houses,Monaghan,Monaghan,105,31,65,620
2002,Multi development houses,Offaly,Offaly,117,34,151,1294
2002,Multi development houses,Roscommon,Roscommon,132,58,57,432
2002,Multi development houses,Sligo,Sligo,128,47,80,623
2002,Multi development houses,Waterford,Waterford,119,29,51,429
2002,Multi development houses,Westmeath,Westmeath,129,32,106,821
2002,Multi development houses,Wexford,Wexford,120,63,65,540
2002,Multi development houses,Wicklow,Wicklow,109,46,250,2285
2002,One off houses,Carlow,Carlow,201,224,45,224
2002,One off houses,Cavan,Cavan,205,508,104,508
2002,One off houses,Clare,Clare,204,587,120,587
2002,One off houses,Cork,Cork,193,1823,351,1823
2002,One off houses,Donegal,Donegal,194,1573,305,1573
2002,One off houses,Dublin,Dublin,155,657,102,657
2002,One off houses,Galway,Galway,195,1566,306,1566
2002,One off houses,Kerry,Kerry,180,1103,199,1103
2002,One off houses,Kildare,Kildare,213,478,102,478
2002,One off houses,Kilkenny,Kilkenny,196,404,79,404
2002,One off houses,Laois,Laois,198,293,58,293
